************************************************************************************************************************************************

2020-08-16 23:19:40
Starting photon ID training BDT

inFilePath	=	/hdfs/cms/user/wadud/anTGC/BDTdata/mergedSamplesShuffled.root
saveDir		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p02MaxD20/
inTreeName	=	fullEB_Tree
chunksize	=	2000000
logFile		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p02MaxD20//trainWithTune_2020_08_16_23_19_40.log

BDT input features (17) :
['phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']



Training with params:
{'eval_metric': 'auc', 'sampling_method': 'uniform', 'alpha': 0.01, 'tree_method': 'exact', 'booster': 'gbtree', 'colsample_bytree': 0.5, 'verbosity': 1, 'nthread': -1, 'min_child_weight': 1.8, 'predictor': 'cpu_predictor', 'subsample': 0.5, 'eta': 0.02, 'objective': 'binary:logistic', 'max_depth': 20, 'gamma': 0.05}




Total data:
Total Events	=	2000000 (B/S= 1672280 / 327720 = 5.10)
BackgroundSumW/SignalSumW 	=	118920104.000000 / 962626.812500	=	123.537079
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	118959856.000000 / 962626.812500	=	123.578377

Training data:
Total Events	=	819550 (B/S= 684955 / 134595 = 5.09)
BackgroundSumW/SignalSumW 	=	48728768.000000 / 396644.968750	=	122.852356
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	48750264.000000 / 396644.968750	=	122.906548

Validation data:
Total Events	=	579872 (B/S= 485148 / 94724 = 5.12)
BackgroundSumW/SignalSumW 	=	34831516.000000 / 277818.906250	=	125.374893
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34816180.000000 / 277818.906250	=	125.319695

Test data:
Total Events	=	600578 (B/S= 502177 / 98401 = 5.10)
BackgroundSumW/SignalSumW 	=	35359820.000000 / 288163.031250	=	122.707687
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	35393416.000000 / 288163.031250	=	122.824280


[0]	train-auc:0.996022	test-auc:0.993524	validation-auc:0.993247
[108]	train-auc:0.999937	test-auc:0.997537	validation-auc:0.997445
[109]	train-auc:0.999939	test-auc:0.997553	validation-auc:0.997451
[110]	train-auc:0.999939	test-auc:0.99755	validation-auc:0.997442
[111]	train-auc:0.99994	test-auc:0.99755	validation-auc:0.997441
[112]	train-auc:0.999941	test-auc:0.997547	validation-auc:0.997437
[113]	train-auc:0.999943	test-auc:0.99756	validation-auc:0.997442
[114]	train-auc:0.999944	test-auc:0.997582	validation-auc:0.997459
[115]	train-auc:0.999945	test-auc:0.997585	validation-auc:0.997465
[116]	train-auc:0.999946	test-auc:0.997601	validation-auc:0.997481
[117]	train-auc:0.999947	test-auc:0.997601	validation-auc:0.997478
[118]	train-auc:0.999948	test-auc:0.9976	validation-auc:0.997476
[119]	train-auc:0.999949	test-auc:0.997591	validation-auc:0.997476
[120]	train-auc:0.99995	test-auc:0.997593	validation-auc:0.997478
[121]	train-auc:0.99995	test-auc:0.99759	validation-auc:0.997481
[122]	train-auc:0.99995	test-auc:0.997591	validation-auc:0.997481
[123]	train-auc:0.99995	test-auc:0.99759	validation-auc:0.997476
[124]	train-auc:0.999951	test-auc:0.997596	validation-auc:0.997496
[125]	train-auc:0.999952	test-auc:0.997602	validation-auc:0.997498
[126]	train-auc:0.999953	test-auc:0.99761	validation-auc:0.997499
[127]	train-auc:0.999954	test-auc:0.997618	validation-auc:0.997495
[128]	train-auc:0.999955	test-auc:0.997631	validation-auc:0.997503
[129]	train-auc:0.999956	test-auc:0.99763	validation-auc:0.9975
[130]	train-auc:0.999957	test-auc:0.997631	validation-auc:0.9975
[131]	train-auc:0.999957	test-auc:0.997622	validation-auc:0.997492
[132]	train-auc:0.999957	test-auc:0.997619	validation-auc:0.997489
[133]	train-auc:0.999958	test-auc:0.99762	validation-auc:0.997488
[134]	train-auc:0.999958	test-auc:0.997618	validation-auc:0.997491
[135]	train-auc:0.999958	test-auc:0.997616	validation-auc:0.997493
[136]	train-auc:0.999959	test-auc:0.997619	validation-auc:0.997497
[137]	train-auc:0.999959	test-auc:0.997616	validation-auc:0.9975
[138]	train-auc:0.99996	test-auc:0.997614	validation-auc:0.997498
Stopping. Best iteration:
[128]	train-auc:0.999955	test-auc:0.997631	validation-auc:0.997503


Validation progress:

{
    "test": {
        "auc": [
            0.993524, 
            0.993804, 
            0.994699, 
            0.994828, 
            0.995282, 
            0.995517, 
            0.995881, 
            0.995914, 
            0.99599, 
            0.996269, 
            0.996428, 
            0.996524, 
            0.996567, 
            0.99653, 
            0.996598, 
            0.996708, 
            0.996725, 
            0.996743, 
            0.996789, 
            0.996799, 
            0.996887, 
            0.996977, 
            0.996992, 
            0.996885, 
            0.996942, 
            0.996994, 
            0.996984, 
            0.997002, 
            0.997058, 
            0.997029, 
            0.997048, 
            0.997052, 
            0.996971, 
            0.997, 
            0.997007, 
            0.996987, 
            0.996985, 
            0.997033, 
            0.997128, 
            0.997181, 
            0.997198, 
            0.997189, 
            0.997191, 
            0.997196, 
            0.997234, 
            0.997234, 
            0.997225, 
            0.997231, 
            0.997235, 
            0.99724, 
            0.997234, 
            0.997221, 
            0.997271, 
            0.997266, 
            0.997251, 
            0.997249, 
            0.997245, 
            0.997216, 
            0.997234, 
            0.997242, 
            0.997259, 
            0.997253, 
            0.997274, 
            0.997275, 
            0.997261, 
            0.997263, 
            0.997285, 
            0.997327, 
            0.997347, 
            0.997353, 
            0.997352, 
            0.997371, 
            0.997379, 
            0.997397, 
            0.9974, 
            0.997394, 
            0.997387, 
            0.997387, 
            0.997404, 
            0.9974, 
            0.997381, 
            0.997382, 
            0.99739, 
            0.997388, 
            0.997391, 
            0.997402, 
            0.997421, 
            0.997417, 
            0.997434, 
            0.997438, 
            0.997443, 
            0.997466, 
            0.997466, 
            0.99747, 
            0.997505, 
            0.997509, 
            0.997511, 
            0.997511, 
            0.997507, 
            0.997509, 
            0.997526, 
            0.997521, 
            0.997521, 
            0.997541, 
            0.997539, 
            0.997531, 
            0.997535, 
            0.997534, 
            0.997537, 
            0.997553, 
            0.99755, 
            0.99755, 
            0.997547, 
            0.99756, 
            0.997582, 
            0.997585, 
            0.997601, 
            0.997601, 
            0.9976, 
            0.997591, 
            0.997593, 
            0.99759, 
            0.997591, 
            0.99759, 
            0.997596, 
            0.997602, 
            0.99761, 
            0.997618, 
            0.997631, 
            0.99763, 
            0.997631, 
            0.997622, 
            0.997619, 
            0.99762, 
            0.997618, 
            0.997616, 
            0.997619, 
            0.997616
        ]
    }, 
    "train": {
        "auc": [
            0.996022, 
            0.997625, 
            0.998319, 
            0.998737, 
            0.99887, 
            0.99892, 
            0.999051, 
            0.9991, 
            0.999152, 
            0.999153, 
            0.999312, 
            0.999332, 
            0.999351, 
            0.999394, 
            0.999411, 
            0.999471, 
            0.999476, 
            0.999475, 
            0.999493, 
            0.999502, 
            0.999515, 
            0.999531, 
            0.99953, 
            0.999526, 
            0.999541, 
            0.999554, 
            0.999556, 
            0.999561, 
            0.999585, 
            0.999588, 
            0.999598, 
            0.999604, 
            0.999619, 
            0.999636, 
            0.999638, 
            0.999635, 
            0.999641, 
            0.999635, 
            0.999636, 
            0.999645, 
            0.999656, 
            0.999656, 
            0.999658, 
            0.999663, 
            0.999674, 
            0.999661, 
            0.999667, 
            0.999677, 
            0.999681, 
            0.999686, 
            0.999697, 
            0.9997, 
            0.999715, 
            0.999719, 
            0.999718, 
            0.99972, 
            0.999728, 
            0.999736, 
            0.999737, 
            0.999745, 
            0.999748, 
            0.999749, 
            0.999758, 
            0.999762, 
            0.999764, 
            0.999764, 
            0.999769, 
            0.999779, 
            0.999786, 
            0.999788, 
            0.999793, 
            0.999799, 
            0.999806, 
            0.999809, 
            0.999814, 
            0.999815, 
            0.999817, 
            0.999817, 
            0.999822, 
            0.999824, 
            0.999826, 
            0.999827, 
            0.999829, 
            0.99983, 
            0.999831, 
            0.999834, 
            0.999903, 
            0.999904, 
            0.999906, 
            0.999908, 
            0.999909, 
            0.999912, 
            0.999914, 
            0.999916, 
            0.999918, 
            0.99992, 
            0.999921, 
            0.999923, 
            0.999923, 
            0.999924, 
            0.999924, 
            0.999928, 
            0.99993, 
            0.999932, 
            0.999933, 
            0.999934, 
            0.999935, 
            0.999936, 
            0.999937, 
            0.999939, 
            0.999939, 
            0.99994, 
            0.999941, 
            0.999943, 
            0.999944, 
            0.999945, 
            0.999946, 
            0.999947, 
            0.999948, 
            0.999949, 
            0.99995, 
            0.99995, 
            0.99995, 
            0.99995, 
            0.999951, 
            0.999952, 
            0.999953, 
            0.999954, 
            0.999955, 
            0.999956, 
            0.999957, 
            0.999957, 
            0.999957, 
            0.999958, 
            0.999958, 
            0.999958, 
            0.999959, 
            0.999959
        ]
    }, 
    "validation": {
        "auc": [
            0.993247, 
            0.993941, 
            0.994566, 
            0.995216, 
            0.995602, 
            0.99566, 
            0.995788, 
            0.995779, 
            0.995774, 
            0.995988, 
            0.996258, 
            0.996249, 
            0.996344, 
            0.996443, 
            0.996411, 
            0.996552, 
            0.996601, 
            0.996606, 
            0.996567, 
            0.996558, 
            0.99659, 
            0.996631, 
            0.996642, 
            0.99662, 
            0.996699, 
            0.996701, 
            0.996673, 
            0.996737, 
            0.99678, 
            0.996818, 
            0.996844, 
            0.996858, 
            0.996826, 
            0.996879, 
            0.996902, 
            0.996877, 
            0.996885, 
            0.996898, 
            0.996966, 
            0.996984, 
            0.997011, 
            0.997013, 
            0.997001, 
            0.997002, 
            0.997033, 
            0.997058, 
            0.997049, 
            0.997043, 
            0.997059, 
            0.997053, 
            0.997052, 
            0.997049, 
            0.997096, 
            0.997099, 
            0.997086, 
            0.997086, 
            0.997106, 
            0.997108, 
            0.997108, 
            0.997132, 
            0.997151, 
            0.997148, 
            0.997165, 
            0.997168, 
            0.997179, 
            0.997185, 
            0.997209, 
            0.997247, 
            0.99727, 
            0.997287, 
            0.9973, 
            0.997314, 
            0.997324, 
            0.997335, 
            0.997342, 
            0.997339, 
            0.997345, 
            0.997343, 
            0.997364, 
            0.997352, 
            0.997352, 
            0.997359, 
            0.997356, 
            0.997358, 
            0.997356, 
            0.997367, 
            0.997387, 
            0.997387, 
            0.997409, 
            0.997413, 
            0.99742, 
            0.99743, 
            0.997423, 
            0.997416, 
            0.997417, 
            0.997427, 
            0.99743, 
            0.997434, 
            0.997428, 
            0.997428, 
            0.99742, 
            0.99742, 
            0.997422, 
            0.997438, 
            0.997441, 
            0.997437, 
            0.99744, 
            0.997445, 
            0.997445, 
            0.997451, 
            0.997442, 
            0.997441, 
            0.997437, 
            0.997442, 
            0.997459, 
            0.997465, 
            0.997481, 
            0.997478, 
            0.997476, 
            0.997476, 
            0.997478, 
            0.997481, 
            0.997481, 
            0.997476, 
            0.997496, 
            0.997498, 
            0.997499, 
            0.997495, 
            0.997503, 
            0.9975, 
            0.9975, 
            0.997492, 
            0.997489, 
            0.997488, 
            0.997491, 
            0.997493, 
            0.997497, 
            0.9975
        ]
    }
}



[0]	train-auc:0.996436	test-auc:0.993359
[1]	train-auc:0.997435	test-auc:0.993952
[2]	train-auc:0.998349	test-auc:0.99491
[3]	train-auc:0.998723	test-auc:0.995509
[4]	train-auc:0.998822	test-auc:0.995839
[5]	train-auc:0.998801	test-auc:0.996177
[6]	train-auc:0.998881	test-auc:0.99615
[7]	train-auc:0.998953	test-auc:0.996143
[8]	train-auc:0.999069	test-auc:0.996227
[9]	train-auc:0.999115	test-auc:0.996109
[10]	train-auc:0.999103	test-auc:0.996148
[11]	train-auc:0.999124	test-auc:0.996144
[12]	train-auc:0.999218	test-auc:0.996383
[13]	train-auc:0.999232	test-auc:0.996406
[14]	train-auc:0.999264	test-auc:0.996395
[15]	train-auc:0.999293	test-auc:0.996306
[16]	train-auc:0.999311	test-auc:0.996348
[17]	train-auc:0.999325	test-auc:0.996371
[18]	train-auc:0.999369	test-auc:0.996427
[19]	train-auc:0.999381	test-auc:0.996336
[20]	train-auc:0.999376	test-auc:0.996303
[21]	train-auc:0.999376	test-auc:0.99635
[22]	train-auc:0.999411	test-auc:0.996445
[23]	train-auc:0.999422	test-auc:0.996536
[24]	train-auc:0.999419	test-auc:0.996503
[25]	train-auc:0.999415	test-auc:0.996545
[26]	train-auc:0.999427	test-auc:0.996537
[27]	train-auc:0.999433	test-auc:0.996463
[28]	train-auc:0.99948	test-auc:0.996537
[29]	train-auc:0.999495	test-auc:0.99654
[30]	train-auc:0.999521	test-auc:0.996617
[31]	train-auc:0.999539	test-auc:0.99674
[32]	train-auc:0.999536	test-auc:0.996661
[33]	train-auc:0.999534	test-auc:0.996628
[34]	train-auc:0.999558	test-auc:0.996689
[35]	train-auc:0.999574	test-auc:0.996833
[36]	train-auc:0.999582	test-auc:0.996844
[37]	train-auc:0.999579	test-auc:0.996857
[38]	train-auc:0.999583	test-auc:0.996859
[39]	train-auc:0.999601	test-auc:0.996911
[40]	train-auc:0.999609	test-auc:0.997005
[41]	train-auc:0.999613	test-auc:0.997006
[42]	train-auc:0.999629	test-auc:0.996926
[43]	train-auc:0.999643	test-auc:0.997009
[44]	train-auc:0.999645	test-auc:0.997096
[45]	train-auc:0.999646	test-auc:0.997157
[46]	train-auc:0.999646	test-auc:0.997147
[47]	train-auc:0.999654	test-auc:0.997175
[48]	train-auc:0.999658	test-auc:0.997173
[49]	train-auc:0.999665	test-auc:0.997173
[50]	train-auc:0.999684	test-auc:0.997228
[51]	train-auc:0.999682	test-auc:0.997212
[52]	train-auc:0.999691	test-auc:0.997215
[53]	train-auc:0.9997	test-auc:0.997209
[54]	train-auc:0.9997	test-auc:0.997211
[55]	train-auc:0.999704	test-auc:0.997207
[56]	train-auc:0.999708	test-auc:0.997212
[57]	train-auc:0.999713	test-auc:0.99722
[58]	train-auc:0.999714	test-auc:0.997226
[59]	train-auc:0.999717	test-auc:0.997232
[60]	train-auc:0.99972	test-auc:0.997227
[61]	train-auc:0.999724	test-auc:0.997226
[62]	train-auc:0.99973	test-auc:0.997232
[63]	train-auc:0.999737	test-auc:0.997239
[64]	train-auc:0.999739	test-auc:0.997237
[65]	train-auc:0.999742	test-auc:0.997228
[66]	train-auc:0.999747	test-auc:0.997245
[67]	train-auc:0.999747	test-auc:0.99724
[68]	train-auc:0.999749	test-auc:0.997251
[69]	train-auc:0.999757	test-auc:0.997248
[70]	train-auc:0.999765	test-auc:0.997286
[71]	train-auc:0.999769	test-auc:0.997291
[72]	train-auc:0.999772	test-auc:0.997286
[73]	train-auc:0.999775	test-auc:0.997289
[74]	train-auc:0.999777	test-auc:0.997295
[75]	train-auc:0.999779	test-auc:0.997299
[76]	train-auc:0.999783	test-auc:0.997301
[77]	train-auc:0.999784	test-auc:0.997301
[78]	train-auc:0.999786	test-auc:0.997299
[79]	train-auc:0.99979	test-auc:0.99732
[80]	train-auc:0.999793	test-auc:0.997337
[81]	train-auc:0.999795	test-auc:0.997331
[82]	train-auc:0.9998	test-auc:0.997349
[83]	train-auc:0.999802	test-auc:0.997353
[84]	train-auc:0.999804	test-auc:0.99735
[85]	train-auc:0.999805	test-auc:0.997346
[86]	train-auc:0.999807	test-auc:0.997351
[87]	train-auc:0.999837	test-auc:0.997371
[88]	train-auc:0.999837	test-auc:0.997363
[89]	train-auc:0.999838	test-auc:0.997353
[90]	train-auc:0.999842	test-auc:0.997371
[91]	train-auc:0.999844	test-auc:0.997376
[92]	train-auc:0.999848	test-auc:0.997382
[93]	train-auc:0.999848	test-auc:0.997381
[94]	train-auc:0.999846	test-auc:0.997373
[95]	train-auc:0.999848	test-auc:0.997375
[96]	train-auc:0.999851	test-auc:0.997378
[97]	train-auc:0.999854	test-auc:0.997403
[98]	train-auc:0.999856	test-auc:0.997416
[99]	train-auc:0.999859	test-auc:0.997431
[100]	train-auc:0.999862	test-auc:0.997453
[101]	train-auc:0.999864	test-auc:0.997454
[102]	train-auc:0.999865	test-auc:0.997446
[103]	train-auc:0.999867	test-auc:0.997455
[104]	train-auc:0.999869	test-auc:0.997459
[105]	train-auc:0.999869	test-auc:0.997456
[106]	train-auc:0.999873	test-auc:0.997454
[107]	train-auc:0.999873	test-auc:0.997446
[108]	train-auc:0.999874	test-auc:0.997445
[109]	train-auc:0.999877	test-auc:0.997464
[110]	train-auc:0.999877	test-auc:0.997465
[111]	train-auc:0.999878	test-auc:0.997472
[112]	train-auc:0.99988	test-auc:0.997475
[113]	train-auc:0.999881	test-auc:0.997475
[114]	train-auc:0.999882	test-auc:0.997481
[115]	train-auc:0.999883	test-auc:0.997485
[116]	train-auc:0.999884	test-auc:0.997486
[117]	train-auc:0.999884	test-auc:0.997479
[118]	train-auc:0.999885	test-auc:0.997485
[119]	train-auc:0.999886	test-auc:0.997486
[120]	train-auc:0.999887	test-auc:0.997487
[121]	train-auc:0.999888	test-auc:0.997503
[122]	train-auc:0.99989	test-auc:0.997517
[123]	train-auc:0.999896	test-auc:0.997532
[124]	train-auc:0.999897	test-auc:0.997539
[125]	train-auc:0.999897	test-auc:0.997535
[126]	train-auc:0.999898	test-auc:0.997533
[127]	train-auc:0.999899	test-auc:0.997548
