************************************************************************************************************************************************

2020-08-16 23:15:47
Starting photon ID training BDT

inFilePath	=	/hdfs/cms/user/wadud/anTGC/BDTdata/mergedSamplesShuffled.root
saveDir		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1/
inTreeName	=	fullEB_Tree
chunksize	=	2000000
logFile		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1//trainWithTune_2020_08_16_23_15_47.log

BDT input features (17) :
['phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']



Training with params:
{'eval_metric': 'auc', 'sampling_method': 'uniform', 'alpha': 0.01, 'tree_method': 'exact', 'booster': 'gbtree', 'colsample_bytree': 0.5, 'verbosity': 1, 'nthread': -1, 'min_child_weight': 1.8, 'predictor': 'cpu_predictor', 'subsample': 0.5, 'eta': 0.1, 'objective': 'binary:logistic', 'max_depth': 22, 'gamma': 0.05}




Total data:
Total Events	=	2000000 (B/S= 1672280 / 327720 = 5.10)
BackgroundSumW/SignalSumW 	=	118920104.000000 / 962626.812500	=	123.537079
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	118959856.000000 / 962626.812500	=	123.578377

Training data:
Total Events	=	819550 (B/S= 684955 / 134595 = 5.09)
BackgroundSumW/SignalSumW 	=	48728768.000000 / 396644.968750	=	122.852356
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	48750264.000000 / 396644.968750	=	122.906548

Validation data:
Total Events	=	579872 (B/S= 485148 / 94724 = 5.12)
BackgroundSumW/SignalSumW 	=	34831516.000000 / 277818.906250	=	125.374893
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34816180.000000 / 277818.906250	=	125.319695

Test data:
Total Events	=	600578 (B/S= 502177 / 98401 = 5.10)
BackgroundSumW/SignalSumW 	=	35359820.000000 / 288163.031250	=	122.707687
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	35393416.000000 / 288163.031250	=	122.824280


[0]	train-auc:0.996117	test-auc:0.993527	validation-auc:0.993337
[108]	train-auc:0.999999	test-auc:0.99789	validation-auc:0.997881
[109]	train-auc:0.999999	test-auc:0.997897	validation-auc:0.997887
[110]	train-auc:0.999999	test-auc:0.997893	validation-auc:0.997884
[111]	train-auc:0.999999	test-auc:0.997886	validation-auc:0.997885
[112]	train-auc:0.999999	test-auc:0.997889	validation-auc:0.997885
[113]	train-auc:0.999999	test-auc:0.997898	validation-auc:0.997885
[114]	train-auc:0.999999	test-auc:0.997903	validation-auc:0.997895
Stopping. Best iteration:
[104]	train-auc:0.999999	test-auc:0.997897	validation-auc:0.997897


Validation progress:

{
    "test": {
        "auc": [
            0.993527, 
            0.990778, 
            0.990651, 
            0.991428, 
            0.991735, 
            0.99209, 
            0.992879, 
            0.993192, 
            0.993467, 
            0.993794, 
            0.994013, 
            0.994729, 
            0.994945, 
            0.995318, 
            0.995375, 
            0.995969, 
            0.995971, 
            0.996189, 
            0.996248, 
            0.996185, 
            0.996232, 
            0.996514, 
            0.996605, 
            0.996714, 
            0.996755, 
            0.996764, 
            0.996745, 
            0.996856, 
            0.996868, 
            0.996924, 
            0.996947, 
            0.996983, 
            0.99698, 
            0.996967, 
            0.996954, 
            0.997135, 
            0.997148, 
            0.99716, 
            0.997149, 
            0.997209, 
            0.997186, 
            0.997191, 
            0.997195, 
            0.997355, 
            0.997413, 
            0.997433, 
            0.997444, 
            0.99745, 
            0.997493, 
            0.997508, 
            0.997516, 
            0.997537, 
            0.99757, 
            0.997574, 
            0.997561, 
            0.997566, 
            0.997567, 
            0.997578, 
            0.997586, 
            0.997628, 
            0.997643, 
            0.997639, 
            0.997655, 
            0.997655, 
            0.997652, 
            0.997663, 
            0.997694, 
            0.997721, 
            0.997736, 
            0.99774, 
            0.997746, 
            0.997761, 
            0.997774, 
            0.997792, 
            0.997793, 
            0.997791, 
            0.997791, 
            0.997785, 
            0.997807, 
            0.997805, 
            0.997812, 
            0.997808, 
            0.997807, 
            0.997805, 
            0.99781, 
            0.997826, 
            0.997838, 
            0.997833, 
            0.997844, 
            0.997847, 
            0.997843, 
            0.99786, 
            0.997858, 
            0.997865, 
            0.997873, 
            0.997878, 
            0.997875, 
            0.997878, 
            0.997882, 
            0.997882, 
            0.99789, 
            0.99789, 
            0.997894, 
            0.9979, 
            0.997897, 
            0.997892, 
            0.997893, 
            0.997889, 
            0.99789, 
            0.997897, 
            0.997893, 
            0.997886, 
            0.997889, 
            0.997898
        ]
    }, 
    "train": {
        "auc": [
            0.996117, 
            0.996766, 
            0.997669, 
            0.998478, 
            0.998747, 
            0.998972, 
            0.999258, 
            0.999156, 
            0.999395, 
            0.999499, 
            0.999582, 
            0.999604, 
            0.999613, 
            0.999696, 
            0.999729, 
            0.999776, 
            0.999788, 
            0.999789, 
            0.999808, 
            0.99983, 
            0.999843, 
            0.999857, 
            0.999869, 
            0.999881, 
            0.999893, 
            0.9999, 
            0.9999, 
            0.999906, 
            0.999913, 
            0.999916, 
            0.999919, 
            0.99992, 
            0.999923, 
            0.999925, 
            0.999927, 
            0.999928, 
            0.999929, 
            0.99995, 
            0.999951, 
            0.999957, 
            0.99996, 
            0.999962, 
            0.999963, 
            0.999963, 
            0.999965, 
            0.999967, 
            0.999967, 
            0.999988, 
            0.999989, 
            0.99999, 
            0.99999, 
            0.999991, 
            0.999991, 
            0.999992, 
            0.999993, 
            0.999993, 
            0.999994, 
            0.999994, 
            0.999994, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999
        ]
    }, 
    "validation": {
        "auc": [
            0.993337, 
            0.991299, 
            0.990915, 
            0.991394, 
            0.991998, 
            0.991963, 
            0.992769, 
            0.993357, 
            0.993756, 
            0.994088, 
            0.994985, 
            0.995037, 
            0.995505, 
            0.995448, 
            0.995408, 
            0.995749, 
            0.995784, 
            0.995867, 
            0.995994, 
            0.996118, 
            0.996116, 
            0.996175, 
            0.996117, 
            0.996494, 
            0.996638, 
            0.996689, 
            0.996671, 
            0.996631, 
            0.996858, 
            0.996955, 
            0.996958, 
            0.996961, 
            0.997043, 
            0.9971, 
            0.997124, 
            0.997153, 
            0.997169, 
            0.997139, 
            0.997225, 
            0.997271, 
            0.997317, 
            0.997306, 
            0.997312, 
            0.997326, 
            0.997368, 
            0.997395, 
            0.997402, 
            0.997421, 
            0.99744, 
            0.997468, 
            0.997471, 
            0.99749, 
            0.997541, 
            0.997549, 
            0.997544, 
            0.997552, 
            0.997552, 
            0.997565, 
            0.997564, 
            0.997589, 
            0.997604, 
            0.997601, 
            0.997632, 
            0.997636, 
            0.997635, 
            0.997642, 
            0.997663, 
            0.997684, 
            0.997713, 
            0.997724, 
            0.997724, 
            0.99773, 
            0.997742, 
            0.99776, 
            0.997757, 
            0.997755, 
            0.997756, 
            0.997758, 
            0.997765, 
            0.997767, 
            0.997764, 
            0.997777, 
            0.997786, 
            0.997789, 
            0.997786, 
            0.997804, 
            0.99782, 
            0.997818, 
            0.997835, 
            0.997828, 
            0.997829, 
            0.997841, 
            0.99786, 
            0.997857, 
            0.997872, 
            0.99787, 
            0.997872, 
            0.997875, 
            0.997879, 
            0.997879, 
            0.997882, 
            0.99789, 
            0.997888, 
            0.997895, 
            0.997897, 
            0.997891, 
            0.99789, 
            0.997886, 
            0.997881, 
            0.997887, 
            0.997884, 
            0.997885, 
            0.997885, 
            0.997885
        ]
    }
}



[0]	train-auc:0.9963	test-auc:0.993284
[1]	train-auc:0.99655	test-auc:0.988928
[2]	train-auc:0.997783	test-auc:0.991229
[3]	train-auc:0.998311	test-auc:0.991559
[4]	train-auc:0.9985	test-auc:0.992921
[5]	train-auc:0.998787	test-auc:0.993693
[6]	train-auc:0.999019	test-auc:0.993924
[7]	train-auc:0.999137	test-auc:0.994327
[8]	train-auc:0.999202	test-auc:0.994337
[9]	train-auc:0.999313	test-auc:0.994458
[10]	train-auc:0.999357	test-auc:0.994878
[11]	train-auc:0.999417	test-auc:0.99547
[12]	train-auc:0.999509	test-auc:0.995953
[13]	train-auc:0.99955	test-auc:0.996029
[14]	train-auc:0.999609	test-auc:0.996084
[15]	train-auc:0.999658	test-auc:0.99598
[16]	train-auc:0.999675	test-auc:0.996027
[17]	train-auc:0.999692	test-auc:0.996117
[18]	train-auc:0.999717	test-auc:0.996466
[19]	train-auc:0.999734	test-auc:0.996504
[20]	train-auc:0.999746	test-auc:0.996655
[21]	train-auc:0.999807	test-auc:0.99671
[22]	train-auc:0.999825	test-auc:0.996792
[23]	train-auc:0.999833	test-auc:0.996747
[24]	train-auc:0.999822	test-auc:0.996669
[25]	train-auc:0.99986	test-auc:0.996746
[26]	train-auc:0.999868	test-auc:0.996826
[27]	train-auc:0.999873	test-auc:0.996854
[28]	train-auc:0.99988	test-auc:0.99693
[29]	train-auc:0.999884	test-auc:0.996938
[30]	train-auc:0.999888	test-auc:0.997086
[31]	train-auc:0.99991	test-auc:0.997122
[32]	train-auc:0.999907	test-auc:0.997108
[33]	train-auc:0.999919	test-auc:0.997153
[34]	train-auc:0.999922	test-auc:0.997236
[35]	train-auc:0.999924	test-auc:0.99731
[36]	train-auc:0.999927	test-auc:0.99734
[37]	train-auc:0.999927	test-auc:0.997362
[38]	train-auc:0.999941	test-auc:0.997367
[39]	train-auc:0.999942	test-auc:0.997413
[40]	train-auc:0.999937	test-auc:0.997413
[41]	train-auc:0.999939	test-auc:0.997422
[42]	train-auc:0.999945	test-auc:0.997425
[43]	train-auc:0.999946	test-auc:0.99747
[44]	train-auc:0.999956	test-auc:0.997464
[45]	train-auc:0.999955	test-auc:0.997457
[46]	train-auc:0.999968	test-auc:0.997456
[47]	train-auc:0.999969	test-auc:0.997486
[48]	train-auc:0.99997	test-auc:0.997493
[49]	train-auc:0.99997	test-auc:0.99751
[50]	train-auc:0.99997	test-auc:0.997559
[51]	train-auc:0.999988	test-auc:0.997559
[52]	train-auc:0.999988	test-auc:0.997563
[53]	train-auc:0.999989	test-auc:0.997562
[54]	train-auc:0.99999	test-auc:0.997573
[55]	train-auc:0.999991	test-auc:0.997576
[56]	train-auc:0.999991	test-auc:0.997585
[57]	train-auc:0.999992	test-auc:0.997595
[58]	train-auc:0.999993	test-auc:0.997618
[59]	train-auc:0.999993	test-auc:0.997625
[60]	train-auc:0.999994	test-auc:0.997621
[61]	train-auc:0.999994	test-auc:0.997625
[62]	train-auc:0.999994	test-auc:0.997638
[63]	train-auc:0.999994	test-auc:0.997658
[64]	train-auc:0.999994	test-auc:0.997651
[65]	train-auc:0.999995	test-auc:0.997646
[66]	train-auc:0.999995	test-auc:0.997655
[67]	train-auc:0.999995	test-auc:0.99765
[68]	train-auc:0.999995	test-auc:0.997647
[69]	train-auc:0.999995	test-auc:0.997657
[70]	train-auc:0.999996	test-auc:0.99768
[71]	train-auc:0.999996	test-auc:0.997676
[72]	train-auc:0.999996	test-auc:0.99768
[73]	train-auc:0.999996	test-auc:0.99768
[74]	train-auc:0.999996	test-auc:0.99769
[75]	train-auc:0.999997	test-auc:0.997696
[76]	train-auc:0.999997	test-auc:0.9977
[77]	train-auc:0.999997	test-auc:0.997709
[78]	train-auc:0.999997	test-auc:0.997706
[79]	train-auc:0.999997	test-auc:0.997725
[80]	train-auc:0.999997	test-auc:0.997732
[81]	train-auc:0.999997	test-auc:0.997737
[82]	train-auc:0.999997	test-auc:0.997753
[83]	train-auc:0.999997	test-auc:0.99776
[84]	train-auc:0.999997	test-auc:0.997765
[85]	train-auc:0.999998	test-auc:0.997764
[86]	train-auc:0.999998	test-auc:0.997771
[87]	train-auc:0.999998	test-auc:0.997781
[88]	train-auc:0.999998	test-auc:0.997778
[89]	train-auc:0.999998	test-auc:0.997781
[90]	train-auc:0.999998	test-auc:0.997787
[91]	train-auc:0.999998	test-auc:0.997778
[92]	train-auc:0.999998	test-auc:0.997785
[93]	train-auc:0.999998	test-auc:0.997789
[94]	train-auc:0.999998	test-auc:0.997785
[95]	train-auc:0.999998	test-auc:0.997793
[96]	train-auc:0.999998	test-auc:0.997798
[97]	train-auc:0.999998	test-auc:0.997815
[98]	train-auc:0.999999	test-auc:0.997821
[99]	train-auc:0.999999	test-auc:0.997826
[100]	train-auc:0.999999	test-auc:0.997837
[101]	train-auc:0.999999	test-auc:0.99784
[102]	train-auc:0.999999	test-auc:0.997845
[103]	train-auc:0.999999	test-auc:0.997847
[104]	train-auc:0.999999	test-auc:0.997847

Post-validation progress:

{
    "test": {
        "auc": [
            0.993284, 
            0.988928, 
            0.991229, 
            0.991559, 
            0.992921, 
            0.993693, 
            0.993924, 
            0.994327, 
            0.994337, 
            0.994458, 
            0.994878, 
            0.99547, 
            0.995953, 
            0.996029, 
            0.996084, 
            0.99598, 
            0.996027, 
            0.996117, 
            0.996466, 
            0.996504, 
            0.996655, 
            0.99671, 
            0.996792, 
            0.996747, 
            0.996669, 
            0.996746, 
            0.996826, 
            0.996854, 
            0.99693, 
            0.996938, 
            0.997086, 
            0.997122, 
            0.997108, 
            0.997153, 
            0.997236, 
            0.99731, 
            0.99734, 
            0.997362, 
            0.997367, 
            0.997413, 
            0.997413, 
            0.997422, 
            0.997425, 
            0.99747, 
            0.997464, 
            0.997457, 
            0.997456, 
            0.997486, 
            0.997493, 
            0.99751, 
            0.997559, 
            0.997559, 
            0.997563, 
            0.997562, 
            0.997573, 
            0.997576, 
            0.997585, 
            0.997595, 
            0.997618, 
            0.997625, 
            0.997621, 
            0.997625, 
            0.997638, 
            0.997658, 
            0.997651, 
            0.997646, 
            0.997655, 
            0.99765, 
            0.997647, 
            0.997657, 
            0.99768, 
            0.997676, 
            0.99768, 
            0.99768, 
            0.99769, 
            0.997696, 
            0.9977, 
            0.997709, 
            0.997706, 
            0.997725, 
            0.997732, 
            0.997737, 
            0.997753, 
            0.99776, 
            0.997765, 
            0.997764, 
            0.997771, 
            0.997781, 
            0.997778, 
            0.997781, 
            0.997787, 
            0.997778, 
            0.997785, 
            0.997789, 
            0.997785, 
            0.997793, 
            0.997798, 
            0.997815, 
            0.997821, 
            0.997826, 
            0.997837, 
            0.99784, 
            0.997845, 
            0.997847, 
            0.997847
        ]
    }, 
    "train": {
        "auc": [
            0.9963, 
            0.99655, 
            0.997783, 
            0.998311, 
            0.9985, 
            0.998787, 
            0.999019, 
            0.999137, 
            0.999202, 
            0.999313, 
            0.999357, 
            0.999417, 
            0.999509, 
            0.99955, 
            0.999609, 
            0.999658, 
            0.999675, 
            0.999692, 
            0.999717, 
            0.999734, 
            0.999746, 
            0.999807, 
            0.999825, 
            0.999833, 
            0.999822, 
            0.99986, 
            0.999868, 
            0.999873, 
            0.99988, 
            0.999884, 
            0.999888, 
            0.99991, 
            0.999907, 
            0.999919, 
            0.999922, 
            0.999924, 
            0.999927, 
            0.999927, 
            0.999941, 
            0.999942, 
            0.999937, 
            0.999939, 
            0.999945, 
            0.999946, 
            0.999956, 
            0.999955, 
            0.999968, 
            0.999969, 
            0.99997, 
            0.99997, 
            0.99997, 
            0.999988, 
            0.999988, 
            0.999989, 
            0.99999, 
            0.999991, 
            0.999991, 
            0.999992, 
            0.999993, 
            0.999993, 
            0.999994, 
            0.999994, 
            0.999994, 
            0.999994, 
            0.999994, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999
        ]
    }
}



Chunk 0 processed!


Total data:
Total Events	=	2000000 (B/S= 1672548 / 327452 = 5.11)
BackgroundSumW/SignalSumW 	=	119768024.000000 / 952336.875000	=	125.762245
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	119753632.000000 / 952336.875000	=	125.747131

Training data:
Total Events	=	820556 (B/S= 686069 / 134487 = 5.10)
BackgroundSumW/SignalSumW 	=	49401132.000000 / 391636.093750	=	126.140396
