************************************************************************************************************************************************

2020-08-16 23:39:53
Starting photon ID training BDT

inFilePath	=	/hdfs/cms/user/wadud/anTGC/BDTdata/mergedSamplesShuffled.root
saveDir		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1Alpha0/
inTreeName	=	fullEB_Tree
chunksize	=	2000000
logFile		=	/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/phoIDstudy/BDT/data/trainingEta0p1Alpha0//trainWithTune_2020_08_16_23_39_53.log

BDT input features (17) :
['phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']



Training with params:
{'eval_metric': 'auc', 'sampling_method': 'uniform', 'alpha': 0.0, 'tree_method': 'exact', 'booster': 'gbtree', 'colsample_bytree': 0.5, 'verbosity': 1, 'nthread': -1, 'min_child_weight': 1.8, 'predictor': 'cpu_predictor', 'subsample': 0.5, 'eta': 0.1, 'objective': 'binary:logistic', 'max_depth': 22, 'gamma': 0.05}




Total data:
Total Events	=	2000000 (B/S= 1672280 / 327720 = 5.10)
BackgroundSumW/SignalSumW 	=	118920104.000000 / 962626.812500	=	123.537079
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	118959856.000000 / 962626.812500	=	123.578377

Training data:
Total Events	=	819550 (B/S= 684955 / 134595 = 5.09)
BackgroundSumW/SignalSumW 	=	48728768.000000 / 396644.968750	=	122.852356
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	48750264.000000 / 396644.968750	=	122.906548

Validation data:
Total Events	=	579872 (B/S= 485148 / 94724 = 5.12)
BackgroundSumW/SignalSumW 	=	34831516.000000 / 277818.906250	=	125.374893
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	34816180.000000 / 277818.906250	=	125.319695

Test data:
Total Events	=	600578 (B/S= 502177 / 98401 = 5.10)
BackgroundSumW/SignalSumW 	=	35359820.000000 / 288163.031250	=	122.707687
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	35393416.000000 / 288163.031250	=	122.824280


[0]	train-auc:0.996068	test-auc:0.993431	validation-auc:0.993315
[107]	train-auc:0.999999	test-auc:0.997779	validation-auc:0.997852
[108]	train-auc:0.999999	test-auc:0.997775	validation-auc:0.997852
[109]	train-auc:0.999999	test-auc:0.997789	validation-auc:0.997855
[110]	train-auc:0.999999	test-auc:0.997795	validation-auc:0.99785
[111]	train-auc:0.999999	test-auc:0.997794	validation-auc:0.997846
[112]	train-auc:0.999999	test-auc:0.997798	validation-auc:0.997848
[113]	train-auc:0.999999	test-auc:0.997804	validation-auc:0.99785
[114]	train-auc:0.999999	test-auc:0.997808	validation-auc:0.997855
Stopping. Best iteration:
[104]	train-auc:0.999999	test-auc:0.997776	validation-auc:0.997862


Validation progress:

{
    "test": {
        "auc": [
            0.993431, 
            0.99094, 
            0.991032, 
            0.991778, 
            0.991325, 
            0.991676, 
            0.992375, 
            0.993127, 
            0.993928, 
            0.994159, 
            0.994772, 
            0.995416, 
            0.9956, 
            0.995755, 
            0.99594, 
            0.996265, 
            0.996113, 
            0.996275, 
            0.996356, 
            0.996372, 
            0.996366, 
            0.996484, 
            0.996559, 
            0.996636, 
            0.996724, 
            0.996792, 
            0.996853, 
            0.996929, 
            0.997038, 
            0.997017, 
            0.997014, 
            0.997055, 
            0.997134, 
            0.997142, 
            0.997143, 
            0.997136, 
            0.997141, 
            0.997123, 
            0.997112, 
            0.997166, 
            0.997194, 
            0.997248, 
            0.99727, 
            0.997293, 
            0.997332, 
            0.997347, 
            0.99738, 
            0.997365, 
            0.997386, 
            0.997388, 
            0.997395, 
            0.997413, 
            0.997457, 
            0.997459, 
            0.997467, 
            0.997459, 
            0.997468, 
            0.997482, 
            0.997478, 
            0.997505, 
            0.997521, 
            0.997513, 
            0.997537, 
            0.997535, 
            0.997527, 
            0.997543, 
            0.997573, 
            0.9976, 
            0.997622, 
            0.99763, 
            0.997638, 
            0.997653, 
            0.997664, 
            0.997681, 
            0.99768, 
            0.997681, 
            0.997678, 
            0.997671, 
            0.997688, 
            0.99768, 
            0.997689, 
            0.997691, 
            0.997689, 
            0.997697, 
            0.997696, 
            0.997708, 
            0.997718, 
            0.997724, 
            0.99773, 
            0.997734, 
            0.997735, 
            0.99775, 
            0.997748, 
            0.997743, 
            0.997742, 
            0.997741, 
            0.997737, 
            0.997743, 
            0.997742, 
            0.997744, 
            0.997747, 
            0.997752, 
            0.997763, 
            0.997778, 
            0.997776, 
            0.997778, 
            0.997784, 
            0.997779, 
            0.997775, 
            0.997789, 
            0.997795, 
            0.997794, 
            0.997798, 
            0.997804
        ]
    }, 
    "train": {
        "auc": [
            0.996068, 
            0.996764, 
            0.997835, 
            0.998397, 
            0.998586, 
            0.998833, 
            0.999056, 
            0.999134, 
            0.99927, 
            0.999397, 
            0.99952, 
            0.999541, 
            0.999588, 
            0.999693, 
            0.999737, 
            0.99977, 
            0.999779, 
            0.999789, 
            0.999801, 
            0.999814, 
            0.999825, 
            0.999838, 
            0.999845, 
            0.999851, 
            0.999861, 
            0.99987, 
            0.99987, 
            0.999875, 
            0.999893, 
            0.999895, 
            0.999899, 
            0.999904, 
            0.99991, 
            0.999958, 
            0.999962, 
            0.999963, 
            0.999964, 
            0.99997, 
            0.999972, 
            0.999973, 
            0.999978, 
            0.999979, 
            0.999981, 
            0.999981, 
            0.999983, 
            0.999984, 
            0.999986, 
            0.999989, 
            0.99999, 
            0.99999, 
            0.999991, 
            0.999991, 
            0.999992, 
            0.999993, 
            0.999993, 
            0.999993, 
            0.999993, 
            0.999994, 
            0.999994, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999
        ]
    }, 
    "validation": {
        "auc": [
            0.993315, 
            0.991221, 
            0.991163, 
            0.991229, 
            0.991542, 
            0.99173, 
            0.992034, 
            0.992891, 
            0.993947, 
            0.993996, 
            0.994851, 
            0.994919, 
            0.995262, 
            0.99542, 
            0.99553, 
            0.995882, 
            0.995995, 
            0.996121, 
            0.996254, 
            0.996342, 
            0.996423, 
            0.996578, 
            0.996705, 
            0.996709, 
            0.996782, 
            0.996798, 
            0.996798, 
            0.996907, 
            0.99698, 
            0.997119, 
            0.997132, 
            0.99716, 
            0.997268, 
            0.997234, 
            0.997317, 
            0.997317, 
            0.997311, 
            0.997316, 
            0.997283, 
            0.997319, 
            0.997344, 
            0.997339, 
            0.997338, 
            0.997345, 
            0.997385, 
            0.997409, 
            0.997403, 
            0.997429, 
            0.997454, 
            0.9975, 
            0.997503, 
            0.997523, 
            0.99757, 
            0.997561, 
            0.997544, 
            0.99755, 
            0.997546, 
            0.997548, 
            0.997559, 
            0.997594, 
            0.997596, 
            0.997597, 
            0.997612, 
            0.997632, 
            0.99763, 
            0.997637, 
            0.997659, 
            0.99767, 
            0.997697, 
            0.997699, 
            0.997707, 
            0.997718, 
            0.997731, 
            0.997747, 
            0.99775, 
            0.997748, 
            0.997747, 
            0.997748, 
            0.99776, 
            0.997762, 
            0.997758, 
            0.997758, 
            0.997756, 
            0.99776, 
            0.997766, 
            0.997776, 
            0.9978, 
            0.9978, 
            0.997808, 
            0.997813, 
            0.997802, 
            0.997807, 
            0.997811, 
            0.997809, 
            0.997815, 
            0.997817, 
            0.997819, 
            0.997822, 
            0.99782, 
            0.997826, 
            0.997839, 
            0.997841, 
            0.997848, 
            0.997857, 
            0.997862, 
            0.997857, 
            0.997856, 
            0.997852, 
            0.997852, 
            0.997855, 
            0.99785, 
            0.997846, 
            0.997848, 
            0.99785
        ]
    }
}



[0]	train-auc:0.996536	test-auc:0.993537
[1]	train-auc:0.995979	test-auc:0.988509
[2]	train-auc:0.997787	test-auc:0.991342
[3]	train-auc:0.998358	test-auc:0.991571
[4]	train-auc:0.998598	test-auc:0.993504
[5]	train-auc:0.99887	test-auc:0.993951
[6]	train-auc:0.999057	test-auc:0.994243
[7]	train-auc:0.999121	test-auc:0.994495
[8]	train-auc:0.999212	test-auc:0.994706
[9]	train-auc:0.999361	test-auc:0.994953
[10]	train-auc:0.999377	test-auc:0.99509
[11]	train-auc:0.999431	test-auc:0.995162
[12]	train-auc:0.999505	test-auc:0.99568
[13]	train-auc:0.99956	test-auc:0.996038
[14]	train-auc:0.999587	test-auc:0.996135
[15]	train-auc:0.999669	test-auc:0.996225
[16]	train-auc:0.999693	test-auc:0.996274
[17]	train-auc:0.99972	test-auc:0.99624
[18]	train-auc:0.999752	test-auc:0.996412
[19]	train-auc:0.999767	test-auc:0.996488
[20]	train-auc:0.999786	test-auc:0.996627
[21]	train-auc:0.999796	test-auc:0.996599
[22]	train-auc:0.99981	test-auc:0.996689
[23]	train-auc:0.999819	test-auc:0.996802
[24]	train-auc:0.99983	test-auc:0.996829
[25]	train-auc:0.999832	test-auc:0.996762
[26]	train-auc:0.99984	test-auc:0.996787
[27]	train-auc:0.999844	test-auc:0.996841
[28]	train-auc:0.99982	test-auc:0.997023
[29]	train-auc:0.999826	test-auc:0.997076
[30]	train-auc:0.99983	test-auc:0.997114
[31]	train-auc:0.999881	test-auc:0.997144
[32]	train-auc:0.999878	test-auc:0.997256
[33]	train-auc:0.999912	test-auc:0.997243
[34]	train-auc:0.999915	test-auc:0.99731
[35]	train-auc:0.999918	test-auc:0.997368
[36]	train-auc:0.999921	test-auc:0.997378
[37]	train-auc:0.999922	test-auc:0.99743
[38]	train-auc:0.999938	test-auc:0.997455
[39]	train-auc:0.999939	test-auc:0.997501
[40]	train-auc:0.999939	test-auc:0.99751
[41]	train-auc:0.99994	test-auc:0.997516
[42]	train-auc:0.999948	test-auc:0.997515
[43]	train-auc:0.999949	test-auc:0.997551
[44]	train-auc:0.999949	test-auc:0.997553
[45]	train-auc:0.999949	test-auc:0.997555
[46]	train-auc:0.999969	test-auc:0.997535
[47]	train-auc:0.99997	test-auc:0.997584
[48]	train-auc:0.99997	test-auc:0.99758
[49]	train-auc:0.999971	test-auc:0.997589
[50]	train-auc:0.999972	test-auc:0.997614
[51]	train-auc:0.99998	test-auc:0.997606
[52]	train-auc:0.99998	test-auc:0.997618
[53]	train-auc:0.999982	test-auc:0.997614
[54]	train-auc:0.999983	test-auc:0.997622
[55]	train-auc:0.999989	test-auc:0.997628
[56]	train-auc:0.99999	test-auc:0.99764
[57]	train-auc:0.99999	test-auc:0.997652
[58]	train-auc:0.999991	test-auc:0.997671
[59]	train-auc:0.999991	test-auc:0.997674
[60]	train-auc:0.999991	test-auc:0.997673
[61]	train-auc:0.999992	test-auc:0.997682
[62]	train-auc:0.999992	test-auc:0.997683
[63]	train-auc:0.999992	test-auc:0.997695
[64]	train-auc:0.999993	test-auc:0.997694
[65]	train-auc:0.999994	test-auc:0.997686
[66]	train-auc:0.999994	test-auc:0.997689
[67]	train-auc:0.999994	test-auc:0.997695
[68]	train-auc:0.999995	test-auc:0.997697
[69]	train-auc:0.999995	test-auc:0.997696
[70]	train-auc:0.999995	test-auc:0.997718
[71]	train-auc:0.999995	test-auc:0.997717
[72]	train-auc:0.999995	test-auc:0.997712
[73]	train-auc:0.999996	test-auc:0.997714
[74]	train-auc:0.999996	test-auc:0.997725
[75]	train-auc:0.999996	test-auc:0.997726
[76]	train-auc:0.999996	test-auc:0.997727
[77]	train-auc:0.999996	test-auc:0.997732
[78]	train-auc:0.999997	test-auc:0.997728
[79]	train-auc:0.999997	test-auc:0.997756
[80]	train-auc:0.999997	test-auc:0.997773
[81]	train-auc:0.999997	test-auc:0.997777
[82]	train-auc:0.999997	test-auc:0.997797
[83]	train-auc:0.999997	test-auc:0.997803
[84]	train-auc:0.999997	test-auc:0.997806
[85]	train-auc:0.999997	test-auc:0.997809
[86]	train-auc:0.999997	test-auc:0.997815
[87]	train-auc:0.999997	test-auc:0.997829
[88]	train-auc:0.999998	test-auc:0.997827
[89]	train-auc:0.999998	test-auc:0.997834
[90]	train-auc:0.999998	test-auc:0.997843
[91]	train-auc:0.999998	test-auc:0.997836
[92]	train-auc:0.999998	test-auc:0.997842
[93]	train-auc:0.999998	test-auc:0.997849
[94]	train-auc:0.999998	test-auc:0.997842
[95]	train-auc:0.999998	test-auc:0.997848
[96]	train-auc:0.999998	test-auc:0.997851
[97]	train-auc:0.999998	test-auc:0.997864
[98]	train-auc:0.999998	test-auc:0.997867
[99]	train-auc:0.999998	test-auc:0.997881
[100]	train-auc:0.999998	test-auc:0.99789
[101]	train-auc:0.999999	test-auc:0.997897
[102]	train-auc:0.999999	test-auc:0.997899
[103]	train-auc:0.999999	test-auc:0.997907
[104]	train-auc:0.999999	test-auc:0.997903

Post-validation progress:

{
    "test": {
        "auc": [
            0.993537, 
            0.988509, 
            0.991342, 
            0.991571, 
            0.993504, 
            0.993951, 
            0.994243, 
            0.994495, 
            0.994706, 
            0.994953, 
            0.99509, 
            0.995162, 
            0.99568, 
            0.996038, 
            0.996135, 
            0.996225, 
            0.996274, 
            0.99624, 
            0.996412, 
            0.996488, 
            0.996627, 
            0.996599, 
            0.996689, 
            0.996802, 
            0.996829, 
            0.996762, 
            0.996787, 
            0.996841, 
            0.997023, 
            0.997076, 
            0.997114, 
            0.997144, 
            0.997256, 
            0.997243, 
            0.99731, 
            0.997368, 
            0.997378, 
            0.99743, 
            0.997455, 
            0.997501, 
            0.99751, 
            0.997516, 
            0.997515, 
            0.997551, 
            0.997553, 
            0.997555, 
            0.997535, 
            0.997584, 
            0.99758, 
            0.997589, 
            0.997614, 
            0.997606, 
            0.997618, 
            0.997614, 
            0.997622, 
            0.997628, 
            0.99764, 
            0.997652, 
            0.997671, 
            0.997674, 
            0.997673, 
            0.997682, 
            0.997683, 
            0.997695, 
            0.997694, 
            0.997686, 
            0.997689, 
            0.997695, 
            0.997697, 
            0.997696, 
            0.997718, 
            0.997717, 
            0.997712, 
            0.997714, 
            0.997725, 
            0.997726, 
            0.997727, 
            0.997732, 
            0.997728, 
            0.997756, 
            0.997773, 
            0.997777, 
            0.997797, 
            0.997803, 
            0.997806, 
            0.997809, 
            0.997815, 
            0.997829, 
            0.997827, 
            0.997834, 
            0.997843, 
            0.997836, 
            0.997842, 
            0.997849, 
            0.997842, 
            0.997848, 
            0.997851, 
            0.997864, 
            0.997867, 
            0.997881, 
            0.99789, 
            0.997897, 
            0.997899, 
            0.997907, 
            0.997903
        ]
    }, 
    "train": {
        "auc": [
            0.996536, 
            0.995979, 
            0.997787, 
            0.998358, 
            0.998598, 
            0.99887, 
            0.999057, 
            0.999121, 
            0.999212, 
            0.999361, 
            0.999377, 
            0.999431, 
            0.999505, 
            0.99956, 
            0.999587, 
            0.999669, 
            0.999693, 
            0.99972, 
            0.999752, 
            0.999767, 
            0.999786, 
            0.999796, 
            0.99981, 
            0.999819, 
            0.99983, 
            0.999832, 
            0.99984, 
            0.999844, 
            0.99982, 
            0.999826, 
            0.99983, 
            0.999881, 
            0.999878, 
            0.999912, 
            0.999915, 
            0.999918, 
            0.999921, 
            0.999922, 
            0.999938, 
            0.999939, 
            0.999939, 
            0.99994, 
            0.999948, 
            0.999949, 
            0.999949, 
            0.999949, 
            0.999969, 
            0.99997, 
            0.99997, 
            0.999971, 
            0.999972, 
            0.99998, 
            0.99998, 
            0.999982, 
            0.999983, 
            0.999989, 
            0.99999, 
            0.99999, 
            0.999991, 
            0.999991, 
            0.999991, 
            0.999992, 
            0.999992, 
            0.999992, 
            0.999993, 
            0.999994, 
            0.999994, 
            0.999994, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999995, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999996, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999997, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999998, 
            0.999999, 
            0.999999, 
            0.999999, 
            0.999999
        ]
    }
}



Chunk 0 processed!


Total data:
Total Events	=	2000000 (B/S= 1672548 / 327452 = 5.11)
BackgroundSumW/SignalSumW 	=	119768024.000000 / 952336.875000	=	125.762245
BackgroundSumPtEtaW/SignalSumPtEtaW 	=	119753632.000000 / 952336.875000	=	125.747131

Training data:
Total Events	=	820556 (B/S= 686069 / 134487 = 5.10)
BackgroundSumW/SignalSumW 	=	49401132.000000 / 391636.093750	=	126.140396
